SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,1338 Scott Town Rd,Shady Side,MD,20764,300000,,,REGULARS,,169448,,460,,,Active,,,https://www.redfin.com/MD/Shady-Side/1338-Scott-Town-Rd-20764/home/10459667,BRIGHT MLS,MDAA2026436,N,Y,38.825011,-76.5150188
MLS Listing,,Townhouse,910 Penobscot Harbour,Pasadena,MD,21122,301000,3,1.0,ELIZABETHS LANDING,1400,3592,1985,146,215,125,Active,,,https://www.redfin.com/MD/Pasadena/910-Penobscot-Harbour-21122/home/10226248,BRIGHT MLS,MDAA2054120,N,Y,39.1549393,-76.5285645
MLS Listing,,Single Family Residential,410 Maple Ln NW,Glen Burnie,MD,21061,303000,2,1.0,GLEN BURNIE,1012,10450,1953,20,299,,Active,,,https://www.redfin.com/MD/Glen-Burnie/410-Maple-Ln-NW-21061/home/10410650,BRIGHT MLS,MDAA2063202,N,Y,39.1701911,-76.6252
MLS Listing,,Townhouse,214 Scotts Manor Dr,Glen Burnie,MD,21061,309900,3,1.5,THE HIGHLANDS,1508,5359,1976,1,206,,Active,,,https://www.redfin.com/MD/Glen-Burnie/214-Scotts-Manor-Dr-21061/home/10252365,BRIGHT MLS,MDAA2064948,N,Y,39.1307973,-76.6118769
MLS Listing,,Single Family Residential,1602 Bedford Rd,Glen Burnie,MD,21061,309990,3,1.0,GLEN HEIGHTS,1056,10125,1955,1,294,,Pre On-Market,July-23-2023 12:00 PM,July-23-2023 02:00 PM,https://www.redfin.com/MD/Glen-Burnie/1602-Bedford-Rd-21061/home/10411568,BRIGHT MLS,MDAA2065048,N,Y,39.200942,-76.638496
MLS Listing,,Townhouse,705 Gnome Ct,Glen Burnie,MD,21061,313900,3,2.5,CLOVERLEAF COMMONS,1482,719,1998,13,212,70,Active,,,https://www.redfin.com/MD/Glen-Burnie/705-Gnome-Ct-21061/home/10215216,BRIGHT MLS,MDAA2063946,N,Y,39.1250799,-76.637943
MLS Listing,,Townhouse,1900 Pawlet Dr Unit 1C,Crofton,MD,21114,314000,2,2.0,SYCAMORE MEWS/CROFTON VILLAGE,1397,1226,1997,23,225,265,Active,,,https://www.redfin.com/MD/Crofton/1900-Pawlet-Dr-21114/unit-1C/home/145936403,BRIGHT MLS,MDAA2063072,N,Y,39.031149,-76.6811312
MLS Listing,,Townhouse,826 Estuary Dr,Odenton,MD,21113,315000,3,2.0,PINEY ORCHARD,1516,1925,2000,13,208,161,Active,,,https://www.redfin.com/MD/Odenton/826-Estuary-Dr-21113/home/10360020,BRIGHT MLS,MDAA2064140,N,Y,39.0582441,-76.7169554
MLS Listing,,Townhouse,1790-A Belle Dr,Annapolis,MD,21401,317000,3,1.5,GREENBRIAR,1312,1212,1970,5,242,2,Active,,,https://www.redfin.com/MD/Annapolis/1790-Belle-Dr-21401/unit-A/home/10448564,BRIGHT MLS,MDAA2064520,N,Y,38.969492,-76.524799
MLS Listing,,Single Family Residential,1014 Somerset Dr,Glen Burnie,MD,21061,318000,3,1.0,SOMERSET,912,10050,1956,34,349,,Active,,,https://www.redfin.com/MD/Glen-Burnie/1014-Somerset-Dr-21061/home/10294076,BRIGHT MLS,MDAA2062144,N,Y,39.1506586,-76.6303732
